5.7587 0.0089 0.0089 0.0211
5.9590 0.0097 0.0097 0.0232
6.1584 0.0105 0.0105 0.0255
6.3569 0.0115 0.0115 0.0282
6.5549 0.0127 0.0127 0.0313
6.7524 0.0140 0.0140 0.0350
6.9497 0.0155 0.0155 0.0392
7.1468 0.0172 0.0172 0.0442
7.3441 0.0193 0.0193 0.0502
7.5415 0.0217 0.0217 0.0576
7.7394 0.0248 0.0248 0.0667
7.9380 0.0285 0.0285 0.0783
8.1374 0.0334 0.0334 0.0934
8.3379 0.0398 0.0398 0.1137
8.5397 0.0486 0.0486 0.1421
8.7430 0.0616 0.0616 0.1842
8.9481 0.0824 0.0824 0.2520
9.1551 0.1216 0.1216 0.3768
9.3645 0.2203 0.2205 0.6735
9.5763 0.4864 0.4868 1.4690
9.7912 0.9442 0.9448 3.1507
10.0090 1.3222 1.3225 5.3999
10.2306 1.5033 1.5031 6.5065
10.4558 1.4179 1.4173 5.7016
10.6853 1.3697 1.3694 4.9662
10.9194 1.2736 1.2735 3.8974
11.1584 1.5542 1.5543 3.3802
11.4031 1.8557 1.8562 2.6099
11.6538 1.7389 1.7393 1.9693
11.9108 1.4331 1.4329 1.4782
12.1749 1.1020 1.1017 1.0324
12.4467 1.0218 1.0217 0.9714
12.7268 1.0481 1.0478 1.0181
13.0161 0.9384 0.9383 0.9274
13.3153 0.8920 0.8919 0.8827
13.6253 0.8431 0.8431 0.8035
13.9470 0.7705 0.7705 0.8801
14.2811 0.7138 0.7139 0.7113
14.6295 0.6492 0.6493 0.5791
14.9928 0.6579 0.6575 0.5794
15.3731 0.6168 0.6168 0.4681
15.7713 0.5634 0.5634 0.3721
16.1895 0.5534 0.5536 0.4013
16.6297 0.5334 0.5333 0.3544
17.0941 0.5061 0.5060 0.3313
17.5849 0.4490 0.4491 0.3069
18.1058 0.4411 0.4411 0.2964
18.6592 0.3876 0.3875 0.2658
19.2491 0.3690 0.3691 0.2545
19.8796 0.3252 0.3253 0.2035
20.5559 0.2855 0.2856 0.1568
21.2834 0.2560 0.2559 0.1235
22.0690 0.2099 0.2099 0.0781
22.9200 0.1817 0.1816 0.0500
23.8457 0.1777 0.1778 0.0492
24.8568 0.1565 0.1565 0.0442
25.9665 0.1213 0.1213 0.0350
27.1900 0.0994 0.0993 0.0267
28.5465 0.0826 0.0826 0.0225
30.0590 0.0699 0.0699 0.0171
31.7564 0.0577 0.0577 0.0123
33.6752 0.0483 0.0483 0.0091
35.8614 0.0389 0.0389 0.0059
38.3751 0.0287 0.0287 0.0035
41.2951 0.0205 0.0205 0.0023
44.7278 0.0138 0.0138 0.0015
48.8199 0.0043 0.0043 0.0006
53.7790 0.0005 0.0005 0.0003
59.9102 0.0002 0.0002 0.0002
67.6799 0.0001 0.0001 0.0001
77.8386 0.0001 0.0001 0.0001
91.6770 0.0000 0.0000 0.0000
111.6182 0.0000 0.0000 0.0000
142.8089 0.0000 0.0000 0.0000
   
   
   
   
   
dim="1">gridpoints</dimension>   
   
   
   
   
   
   
